SAMPLE	TYPE	Covered_Genome_Prop	Ave_Depth
HB0702	Historical	0.00440367	0.00629547
HB0711	Historical	0.0169567	0.0199101
HB0713	Historical	0.0474635	0.0515586
HB0715	Historical	0.0534977	0.0581094
HB0717	Historical	0.00369626	0.00581024
HB0718	Historical	0.0606475	0.0709387
HB0719	Historical	0.0109814	0.0139758
HB0722	Historical	0.0326491	0.0522472
HB0725	Historical	0.170351	0.197268
HB0729	Historical	0.121025	0.136151
HB0732	Historical	0.00462516	0.0070049
HB0737	Historical	0.887108	8.75871
HB0742	Historical	0.142314	0.162055
HB0749	Historical	0.139575	0.156122
HB0750	Historical	0.00831671	0.010024
HB0752	Historical	0.00915086	0.0118002
HB0754	Historical	0.0252246	0.028471
HB0756	Historical	0.00174201	0.00351381
HB0757	Historical	0.0731925	0.100545
HB0759	Historical	0.00141633	0.00201518
HB0764	Historical	0.00316861	0.00540983
HB0766	Historical	0.862502	7.63767
HB0768	Historical	0.00258373	0.00427861
HB0808	Historical	0.563186	0.974844
HB0814	Historical	0.927647	8.13508
HB0817	Historical	0.000790721	0.00213973
HB0818	Historical	0.00575554	0.00744537
HB0819	Historical	0.0098278	0.0120816
HB0821	Historical	0.0365999	0.0396616
HB0822	Historical	0.00863751	0.0104388
HB0826	Historical	0.441509	0.665255
HB0828	Historical	0.69957	1.6142
HB0830	Historical	0.00704193	0.00894266
HB0840	Historical	0.724936	1.61748
HB0841	Historical	0.692579	1.44545
p12.A11	Modern	0.9552109759786017	43.2805
p12.A9	Modern	0.3852977011689648	2.68517
p12.E2	Modern	0.946364255898136	124.361
p12.F2	Modern	0.9411505112169483	61.1632
p12.G7	Modern	0.9424833595925277	26.1727
p12.H7	Modern	0.7034083317918925	7.44366
p13.C1	Modern	0.9196673988720862	91.4711
p13.C7	Modern	0.9156681805045973	30.2041
p13.D10	Modern	0.917781651530251	83.4618
p13.D5	Modern	0.37354527400982696	3.2645
p13.F1	Modern	0.5486380255464569	9.89508
p13.F3	Modern	0.9301293918229189	180.182
p13.F5	Modern	0.4869929045474215	7.68403
p20.B10	Modern	0.36205069805808754	6.0333
p20.D4	Modern	0.9659956195590576	26.275
p20.F10	Modern	0.951948619612412	27.3486
p20.G9	Modern	0.9516061083806523	25.8164
p21.A8	Modern	0.9519885091268724	50.4423
p21.E3	Modern	0.9127644931481764	42.5976
p21.F1	Modern	0.9211251334068624	54.2176
p21.F9	Modern	0.9514563123136911	43.9553
p22.A8	Modern	0.9107728786983429	42.5346
p22.B5	Modern	0.9087947290635171	31.8141
p22.C1	Modern	0.9106974757342995	44.4703
p22.D1	Modern	0.9350899979819609	9.86993
p22.D4	Modern	0.9013682103459936	6.48617
p23.A3	Modern	0.9221466079353877	90.3312
p23.A5	Modern	0.35585116060814515	5.69028
p23.B4	Modern	0.3537540156706883	10.3529
p23.B8	Modern	0.9153229763098362	25.8754
p24.B5	Modern	0.9069980178109207	24.3191
p24.H2	Modern	0.9191941106245638	36.961
p25.A12	Modern	0.9043887049726067	8.27369
p25.B2	Modern	0.9952698104877781	9.73957
p25.C11	Modern	0.9364859626778892	7.67613
p25.C2	Modern	0.999957417522538	38.9734
p25.D2	Modern	0.9973312736654644	11.0366
p26.B7	Modern	0.9188105317070305	18.5831
p26.C10	Modern	0.5326135492057358	7.27294
p26.D6	Modern	0.9079772464823591	10.1768
p26.E7	Modern	0.9151181428115308	26.4647
p26.F6	Modern	0.26383110005350585	1.09767
p27.C5	Modern	0.33096027189500943	4.98267
p27.D6	Modern	0.9151162913994673	62.9111
p27.F2	Modern	0.9088644094811822	30.4347
p3.A3	Modern	0.9994792482795753	12.1995
p3.F12	Modern	0.9997657122188652	64.6266
p3.F8	Modern	0.9101445767680438	14.5013
p3.G11	Modern	0.4051069686981762	35.7165
p3.G9	Modern	0.9367567737697324	40.7657
p4.A6	Modern	0.999358738185256	11.257
p4.A8	Modern	0.3175656422354892	8.57523
p4.C5	Modern	0.28195777063731153	2.19208
p4.D11	Modern	0.329928025514478	7.72875
p4.D2	Modern	0.9030886770836086	43.5342
p4.E5	Modern	0.9051474472982933	9.07888
p4.E6	Modern	0.9078506772212863	26.4274
p4.H3	Modern	0.3592712236201131	11.1964
p5.A5	Modern	0.569164294474831	20.9644
p5.C1	Modern	0.9406307693576492	83.5842
p5.C3	Modern	0.9116856248456806	61.8474
p5.D5	Modern	0.9081263693085699	47.1102
p5.F2	Modern	0.35510908099103056	10.8067
p5.H11	Modern	0.9122230392746773	24.6014
p6.A10	Modern	0.9679138507670989	86.1443
p6.B5	Modern	0.3774322294821887	8.17665
p6.B9	Modern	0.9156410825643942	40.9034
p6.D10	Modern	0.3622508188711402	6.29957
p6.E9	Modern	0.3481024961915612	5.45088
p6.F1	Modern	0.44190142711891167	14.1066
p6.G2	Modern	0.5912040086100759	22.8581
p6.G3	Modern	0.3743587171464825	12.0216
p7.F2	Modern	0.42004382460664647	6.6193
p7.G11	Modern	0.9224758226623272	63.4571
p8.B3	Modern	0.9997660488392404	72.1507
p8.B9	Modern	0.9218027502221273	46.3749
p8.C7	Modern	0.9333170184658156	51.4209
p8.D11	Modern	0.4329786308336522	9.92024
p8.E4	Modern	0.9176276477085998	39.6076
p8.G10	Modern	0.4601381725654058	12.253
p8.G2	Modern	0.4508161445151665	8.26752
p8.H7	Modern	0.8998352411573615	67.821
p9.C4	Modern	0.9468267722936521	40.897
p9.H10	Modern	0.46961689740029766	11.8808
